on_base,zero_out,one_out,two_out
"000",0.273426229508197,0.158918032786885,0.0678688524590164
"001",0.42544262295082,0.271868852459016,0.127016393442623
"010",0.624639344262295,0.412754098360656,0.226704918032787
"011",0.63244262295082,0.424606557377049,0.232688524590164
"100",0.836983606557377,0.662590163934426,0.274065573770492
"101",0.856967213114754,0.648786885245902,0.284540983606557
"110",0.853262295081967,0.679540983606557,0.279590163934426
"111",0.867098360655738,0.666262295081967,0.322885245901639
